::ffff:174.138.21.181 - - [13/Dec/2022:01:18:30 +0000] "GET / HTTP/1.0" 302 35 "-" "-"
::ffff:167.248.133.45 - - [13/Dec/2022:17:44:12 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.248.133.45 - - [13/Dec/2022:17:44:12 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.248.133.45 - - [13/Dec/2022:17:44:12 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.248.133.45 - - [13/Dec/2022:17:44:12 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.60 - - [13/Dec/2022:18:43:38 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.60 - - [13/Dec/2022:18:43:49 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.94.138.60 - - [13/Dec/2022:18:43:49 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.60 - - [13/Dec/2022:18:43:49 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.94.138.60 - - [13/Dec/2022:18:43:49 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.117 - - [13/Dec/2022:18:50:08 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.117 - - [13/Dec/2022:18:50:19 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.94.138.117 - - [13/Dec/2022:18:50:19 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.138.117 - - [13/Dec/2022:18:50:19 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:167.94.138.117 - - [13/Dec/2022:18:50:19 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:185.180.143.136 - - [13/Dec/2022:19:09:06 +0000] "GET /admin/ HTTP/1.1" 404 145 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
::ffff:185.180.143.72 - - [13/Dec/2022:22:01:30 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
::ffff:185.180.143.72 - - [13/Dec/2022:22:01:30 +0000] "GET /users/signin HTTP/1.1" 200 2817 "http://50.19.145.241:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
::ffff:192.241.202.124 - - [13/Dec/2022:22:25:05 +0000] "GET /v2/ HTTP/1.1" 404 142 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:192.241.200.235 - - [13/Dec/2022:23:22:03 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 zgrab/0.x"
