::ffff:179.43.154.137 - - [01/Jun/2022:00:15:44 +0000] "GET / HTTP/1.1" 302 35 "-" "Hello World"
::ffff:167.94.146.59 - - [01/Jun/2022:18:41:26 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:167.94.146.59 - - [01/Jun/2022:18:41:26 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:111.13.63.70 - - [01/Jun/2022:19:53:44 +0000] "GET / HTTP/1.1" 302 35 "-" "Facebot"
::ffff:111.13.63.70 - - [01/Jun/2022:19:53:44 +0000] "GET /users/signin HTTP/1.1" 200 2817 "-" "Facebot"
::ffff:111.13.63.70 - - [01/Jun/2022:19:53:45 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "-" "Facebot"
::ffff:111.13.63.70 - - [01/Jun/2022:19:53:51 +0000] "GET //robots.txt HTTP/1.1" 404 150 "-" "Facebot"
::ffff:111.13.63.70 - - [01/Jun/2022:19:53:51 +0000] "GET //sitemap.xml HTTP/1.1" 404 151 "-" "Facebot"
::ffff:111.13.63.70 - - [01/Jun/2022:19:53:51 +0000] "GET //.well-known/security.txt HTTP/1.1" 404 164 "-" "Facebot"
::ffff:162.142.125.9 - - [01/Jun/2022:21:12:51 +0000] "GET / HTTP/1.1" 302 35 "-" "-"
::ffff:162.142.125.9 - - [01/Jun/2022:21:12:51 +0000] "GET / HTTP/1.1" 302 35 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:162.142.125.9 - - [01/Jun/2022:21:12:51 +0000] "PRI * HTTP/2.0" - - "-" "-"
::ffff:205.210.31.161 - - [01/Jun/2022:22:33:50 +0000] "GET / HTTP/1.1" 302 35 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
::ffff:205.210.31.161 - - [01/Jun/2022:22:33:51 +0000] "GET /users/signin HTTP/1.1" 200 2817 "http://50.19.145.241:8000/" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
